source_file,Total trades,Total PnL,Average PnL,Max drawdown,Max relative drawdown,Recovery factor,Profit factor,Profitable trades,Profitable PnL,Average profit,Losing trades,Losing PnL,Average loss,Total days,Profit Days,Loss days,Commission
ATAS_statistics_20052025_20052025.xlsx,33.0,425.0,12.878787878787877,1012.5,0.0,0.4197530864197531,1.2931034482758623,9.0,1875.0,208.33333333333331,15.0,-1450.0,-60.416666666666664,1.0,1.0,0.0,0.0
ATAS_statistics_20052025_20052025.xlsx,23.0,650.0,28.26086956521739,1012.5,0.0,0.6419753086419754,1.5360824742268042,8.0,1862.5,232.8125,12.0,-1212.5,-80.83333333333333,1.0,1.0,0.0,0.0
ATAS_statistics_20052025_20052025.xlsx,10.0,-225.0,-22.5,237.5,19.0,0.9473684210526316,0.05263157894736842,1.0,12.5,12.5,3.0,-237.5,-26.38888888888889,1.0,0.0,1.0,0.0
ATAS_statistics_23052025_23052025.xlsx,2.0,62.5,31.25,40.0,0.0,1.5625,2.5625,1.0,102.5,102.5,1.0,-40.0,-40.0,1.0,1.0,0.0,0.0
ATAS_statistics_23052025_23052025.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAS_statistics_23052025_23052025.xlsx,2.0,62.5,31.25,40.0,0.0,1.5625,2.5625,1.0,102.5,102.5,1.0,-40.0,-40.0,1.0,1.0,0.0,0.0
